Pays,Année,Trouble,Prévalence,Sexe
France,2000,Trouble de la personnalité borderline,7.76,Les deux
France,2000,Trouble de la personnalité borderline,5.15,Femme
France,2000,Trouble de la personnalité borderline,6.5,Homme
France,2000,Trouble bipolaire,9.76,Les deux
France,2000,Trouble bipolaire,8.67,Femme
France,2000,Trouble bipolaire,1.42,Homme
France,2000,Dépression majeure,3.77,Les deux
France,2000,Dépression majeure,10.14,Femme
France,2000,Dépression majeure,8.52,Homme
France,2000,Trouble anxieux généralisé,2.35,Les deux
France,2000,Trouble anxieux généralisé,5.14,Femme
France,2000,Trouble anxieux généralisé,9.04,Homme
France,2000,Trouble panique,7.61,Les deux
France,2000,Trouble panique,4.3,Femme
France,2000,Trouble panique,10.14,Homme
France,2000,Phobie sociale,2.03,Les deux
France,2000,Phobie sociale,4.31,Femme
France,2000,Phobie sociale,1.8,Homme
France,2000,Trouble obsessionnel-compulsif (TOC),7.47,Les deux
France,2000,Trouble obsessionnel-compulsif (TOC),9.66,Femme
France,2000,Trouble obsessionnel-compulsif (TOC),3.92,Homme
France,2000,Stress post-traumatique (PTSD),1.98,Les deux
France,2000,Stress post-traumatique (PTSD),1.45,Femme
France,2000,Stress post-traumatique (PTSD),2.58,Homme
France,2000,Schizophrénie,4.43,Les deux
France,2000,Schizophrénie,9.26,Femme
France,2000,Schizophrénie,3.67,Homme
France,2000,Trouble dissociatif,8.07,Les deux
France,2000,Trouble dissociatif,3.88,Femme
France,2000,Trouble dissociatif,6.46,Homme
France,2000,Trouble du sommeil,2.08,Les deux
France,2000,Trouble du sommeil,0.2,Femme
France,2000,Trouble du sommeil,7.43,Homme
France,2000,Trouble somatique,7.83,Les deux
France,2000,Trouble somatique,4.97,Femme
France,2000,Trouble somatique,1.39,Homme
France,2000,Addiction à l’alcool,6.72,Les deux
France,2000,Addiction à l’alcool,5.1,Femme
France,2000,Addiction à l’alcool,8.37,Homme
France,2000,Addiction aux drogues,5.58,Les deux
France,2000,Addiction aux drogues,5.59,Femme
France,2000,Addiction aux drogues,0.42,Homme
France,2000,Addiction au jeu,2.22,Les deux
France,2000,Addiction au jeu,4.79,Femme
France,2000,Addiction au jeu,2.22,Homme
France,2000,Trouble de l’alimentation,2.89,Les deux
France,2000,Trouble de l’alimentation,3.3,Femme
France,2000,Trouble de l’alimentation,6.37,Homme
France,2000,Autisme,6.68,Les deux
France,2000,Autisme,4.72,Femme
France,2000,Autisme,1.59,Homme
France,2000,TDAH,0.99,Les deux
France,2000,TDAH,7.53,Femme
France,2000,TDAH,1.78,Homme
United States,2000,Trouble de la personnalité borderline,1.61,Les deux
United States,2000,Trouble de la personnalité borderline,7.23,Femme
United States,2000,Trouble de la personnalité borderline,3.84,Homme
United States,2000,Trouble bipolaire,6.34,Les deux
United States,2000,Trouble bipolaire,3.41,Femme
United States,2000,Trouble bipolaire,1.51,Homme
United States,2000,Dépression majeure,9.09,Les deux
United States,2000,Dépression majeure,6.88,Femme
United States,2000,Dépression majeure,10.99,Homme
United States,2000,Trouble anxieux généralisé,7.2,Les deux
United States,2000,Trouble anxieux généralisé,4.47,Femme
United States,2000,Trouble anxieux généralisé,1.23,Homme
United States,2000,Trouble panique,4.61,Les deux
United States,2000,Trouble panique,2.09,Femme
United States,2000,Trouble panique,5.56,Homme
United States,2000,Phobie sociale,8.58,Les deux
United States,2000,Phobie sociale,8.49,Femme
United States,2000,Phobie sociale,4.76,Homme
United States,2000,Trouble obsessionnel-compulsif (TOC),5.88,Les deux
United States,2000,Trouble obsessionnel-compulsif (TOC),6.05,Femme
United States,2000,Trouble obsessionnel-compulsif (TOC),3.85,Homme
United States,2000,Stress post-traumatique (PTSD),4.99,Les deux
United States,2000,Stress post-traumatique (PTSD),3.17,Femme
United States,2000,Stress post-traumatique (PTSD),1.21,Homme
United States,2000,Schizophrénie,1.79,Les deux
United States,2000,Schizophrénie,9.95,Femme
United States,2000,Schizophrénie,3.81,Homme
United States,2000,Trouble dissociatif,0.33,Les deux
United States,2000,Trouble dissociatif,10.02,Femme
United States,2000,Trouble dissociatif,7.26,Homme
United States,2000,Trouble du sommeil,4.92,Les deux
United States,2000,Trouble du sommeil,5.86,Femme
United States,2000,Trouble du sommeil,6.0,Homme
United States,2000,Trouble somatique,2.74,Les deux
United States,2000,Trouble somatique,3.57,Femme
United States,2000,Trouble somatique,4.03,Homme
United States,2000,Addiction à l’alcool,8.28,Les deux
United States,2000,Addiction à l’alcool,8.45,Femme
United States,2000,Addiction à l’alcool,5.21,Homme
United States,2000,Addiction aux drogues,6.76,Les deux
United States,2000,Addiction aux drogues,3.17,Femme
United States,2000,Addiction aux drogues,8.25,Homme
United States,2000,Addiction au jeu,1.17,Les deux
United States,2000,Addiction au jeu,8.88,Femme
United States,2000,Addiction au jeu,0.5,Homme
United States,2000,Trouble de l’alimentation,3.77,Les deux
United States,2000,Trouble de l’alimentation,9.5,Femme
United States,2000,Trouble de l’alimentation,3.84,Homme
United States,2000,Autisme,2.98,Les deux
United States,2000,Autisme,5.08,Femme
United States,2000,Autisme,8.89,Homme
United States,2000,TDAH,0.54,Les deux
United States,2000,TDAH,5.28,Femme
United States,2000,TDAH,10.04,Homme
Brazil,2000,Trouble de la personnalité borderline,8.92,Les deux
Brazil,2000,Trouble de la personnalité borderline,9.44,Femme
Brazil,2000,Trouble de la personnalité borderline,3.65,Homme
Brazil,2000,Trouble bipolaire,6.65,Les deux
Brazil,2000,Trouble bipolaire,3.53,Femme
Brazil,2000,Trouble bipolaire,7.33,Homme
Brazil,2000,Dépression majeure,9.37,Les deux
Brazil,2000,Dépression majeure,2.33,Femme
Brazil,2000,Dépression majeure,7.88,Homme
Brazil,2000,Trouble anxieux généralisé,1.87,Les deux
Brazil,2000,Trouble anxieux généralisé,7.01,Femme
Brazil,2000,Trouble anxieux généralisé,2.03,Homme
Brazil,2000,Trouble panique,7.8,Les deux
Brazil,2000,Trouble panique,10.21,Femme
Brazil,2000,Trouble panique,1.38,Homme
Brazil,2000,Phobie sociale,2.37,Les deux
Brazil,2000,Phobie sociale,1.55,Femme
Brazil,2000,Phobie sociale,1.37,Homme
Brazil,2000,Trouble obsessionnel-compulsif (TOC),6.97,Les deux
Brazil,2000,Trouble obsessionnel-compulsif (TOC),5.62,Femme
